time,state,car_sales,car_sales2,,,,,,,,,,,,,,,,,,,,
1-Aug-14,TAS,1 418,1418,,,,,,,,,,,,,,,,,,,,
1-Aug-14,NT,807,807,,,,,,,,,,,,,,,,,,,,
1-Aug-14,ACT,1 420,1420,,,,,,,,,,,,,,,,,,,,
1-Sep-14,NSW,30 388,30388,,,,,,,,,,,,,,,,,,,,
1-Sep-14,VIC,25 670,25670,,,,,,,,,,,,,,,,,,,,
1-Sep-14,QLD,18 890,18890,,,,,,,,,,,,,,,,,,,,
1-Sep-14,SA,6 099,6099,,,,,,,,,,,,,,,,,,,,
1-Sep-14,WA,9 882,9882,,,,,,,,,,,,,,,,,,,,
1-Sep-14,TAS,1 734,1734,,,,,,,,,,,,,,,,,,,,
1-Sep-14,NT,904,904,,,,,,,,,,,,,,,,,,,,
1-Sep-14,ACT,1 411,1411,,,,,,,,,,,,,,,,,,,,
1-Oct-14,NSW,29 839,29839,,,,,,,,,,,,,,,,,,,,
1-Oct-14,VIC,25 559,25559,,,,,,,,,,,,,,,,,,,,
1-Oct-14,QLD,16 990,16990,,,,,,,,,,,,,,,,,,,,
1-Oct-14,SA,5 628,5628,,,,,,,,,,,,,,,,,,,,
1-Oct-14,WA,9 534,9534,,,,,,,,,,,,,,,,,,,,
1-Oct-14,TAS,1 488,1488,,,,,,,,,,,,,,,,,,,,
1-Oct-14,NT,826,826,,,,,,,,,,,,,,,,,,,,
1-Oct-14,ACT,1 372,1372,,,,,,,,,,,,,,,,,,,,
1-Nov-14,NSW,30 419,30419,,,,,,,,,,,,,,,,,,,,
1-Nov-14,VIC,26 282,26282,,,,,,,,,,,,,,,,,,,,
1-Nov-14,QLD,16 814,16814,,,,,,,,,,,,,,,,,,,,
1-Nov-14,SA,5 888,5888,,,,,,,,,,,,,,,,,,,,
1-Nov-14,WA,8 876,8876,,,,,,,,,,,,,,,,,,,,
1-Nov-14,TAS,1 650,1650,,,,,,,,,,,,,,,,,,,,
1-Nov-14,NT,841,841,,,,,,,,,,,,,,,,,,,,
1-Nov-14,ACT,1 462,1462,,,,,,,,,,,,,,,,,,,,
1-Dec-14,NSW,30 257,30257,,,,,,,,,,,,,,,,,,,,
1-Dec-14,VIC,26 783,26783,,,,,,,,,,,,,,,,,,,,
1-Dec-14,QLD,20 853,20853,,,,,,,,,,,,,,,,,,,,
1-Dec-14,SA,5 830,5830,,,,,,,,,,,,,,,,,,,,
1-Dec-14,WA,9 143,9143,,,,,,,,,,,,,,,,,,,,
1-Dec-14,TAS,1 645,1645,,,,,,,,,,,,,,,,,,,,
1-Dec-14,NT,894,894,,,,,,,,,,,,,,,,,,,,
1-Dec-14,ACT,1 404,1404,,,,,,,,,,,,,,,,,,,,
1-Jan-15,NSW,26 796,26796,,,,,,,,,,,,,,,,,,,,
1-Jan-15,VIC,22 211,22211,,,,,,,,,,,,,,,,,,,,
1-Jan-15,QLD,16 570,16570,,,,,,,,,,,,,,,,,,,,
1-Jan-15,SA,5 039,5039,,,,,,,,,,,,,,,,,,,,
1-Jan-15,WA,8 101,8101,,,,,,,,,,,,,,,,,,,,
1-Jan-15,TAS,1 364,1364,,,,,,,,,,,,,,,,,,,,
1-Jan-15,NT,662,662,,,,,,,,,,,,,,,,,,,,
1-Jan-15,ACT,1 373,1373,,,,,,,,,,,,,,,,,,,,
1-Feb-15,NSW,28 975,28975,,,,,,,,,,,,,,,,,,,,
1-Feb-15,VIC,24 742,24742,,,,,,,,,,,,,,,,,,,,
1-Feb-15,QLD,18 212,18212,,,,,,,,,,,,,,,,,,,,
1-Feb-15,SA,5 915,5915,,,,,,,,,,,,,,,,,,,,
1-Feb-15,WA,8 851,8851,,,,,,,,,,,,,,,,,,,,
1-Feb-15,TAS,1 409,1409,,,,,,,,,,,,,,,,,,,,
1-Feb-15,NT,877,877,,,,,,,,,,,,,,,,,,,,
1-Feb-15,ACT,1 443,1443,,,,,,,,,,,,,,,,,,,,
1-Mar-15,NSW,33 773,33773,,,,,,,,,,,,,,,,,,,,
1-Mar-15,VIC,28 536,28536,,,,,,,,,,,,,,,,,,,,
1-Mar-15,QLD,22 499,22499,,,,,,,,,,,,,,,,,,,,
1-Mar-15,SA,6 173,6173,,,,,,,,,,,,,,,,,,,,
1-Mar-15,WA,9 823,9823,,,,,,,,,,,,,,,,,,,,
1-Mar-15,TAS,1 560,1560,,,,,,,,,,,,,,,,,,,,
1-Mar-15,NT,1 064,1064,,,,,,,,,,,,,,,,,,,,
1-Mar-15,ACT,1 626,1626,,,,,,,,,,,,,,,,,,,,
